Month,Forecast,Lower,Upper
2021-02-01,441488.26,429290.91,453685.61
2021-03-01,453963.81,441766.46,466161.16
2021-04-01,458500.37,446303.02,470697.72
2021-05-01,461353.84,449156.49,473551.2
2021-06-01,464756.64,452559.28,476953.99
2021-07-01,466550.29,454352.94,478747.64
2021-08-01,468228.44,456031.09,480425.79
2021-09-01,478158.96,465961.61,490356.31
2021-10-01,484407.4,472210.05,496604.75
2021-11-01,499870.59,487673.24,512067.94
2021-12-01,510086.59,497889.24,522283.94
2022-01-01,525681.42,513484.07,537878.77
